url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,610,329
/Unity-Technologies/Megacity-Sample/tree/master/Assets,92,59
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,77,31
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,54,26
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,33,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,28,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,20,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,20,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/PlayerController,16,9
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/UI,16,9
