url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,574,338
/Unity-Technologies/Megacity-Sample/tree/master/Assets,96,52
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,55,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,50,23
/Unity-Technologies/Megacity-Sample/search,22,2
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,20,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,17,7
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,14,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,13,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,12,10
