referrer,views_total,views_unique
github.com,330,103
unity.com,320,105
Google,297,54
forum.unity.com,56,19
Bing,52,5
youtube.com,17,5
DuckDuckGo,9,3
issuetracker.unity3d.com,9,1
yandex.ru,8,2
docs.unity3d.com,5,3
