url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,568,311
/Unity-Technologies/Megacity-Sample/tree/master/Assets,83,55
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,64,28
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,44,22
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,28,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,18,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,18,9
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/UI,17,10
/Unity-Technologies/Megacity-Sample/tree/master/Packages,16,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,15,10
