time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-22 00:00:00+00:00,7,6,34,26
2022-12-23 00:00:00+00:00,7,4,103,28
2022-12-24 00:00:00+00:00,1,1,22,16
2022-12-25 00:00:00+00:00,5,4,14,11
2022-12-26 00:00:00+00:00,3,3,59,29
2022-12-27 00:00:00+00:00,11,9,83,28
2022-12-28 00:00:00+00:00,3,2,79,24
2022-12-29 00:00:00+00:00,6,6,86,24
2022-12-30 00:00:00+00:00,7,7,49,19
2022-12-31 00:00:00+00:00,2,2,30,15
2023-01-01 00:00:00+00:00,4,4,70,11
2023-01-02 00:00:00+00:00,6,4,232,33
2023-01-03 00:00:00+00:00,14,10,179,50
2023-01-04 00:00:00+00:00,11,9,119,34
