url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,729,406
/Unity-Technologies/Megacity-Sample/tree/master/Assets,97,58
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,54,33
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,37,24
/Unity-Technologies/Megacity-Sample/issues,23,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,22,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,20,15
/Unity-Technologies/Megacity-Sample/branches,20,12
/Unity-Technologies/Megacity-Sample/commits/master,18,16
/Unity-Technologies/Megacity-Sample/tree/master/Packages,17,15
