url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,628,353
/Unity-Technologies/Megacity-Sample/tree/master/Assets,94,62
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,79,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,54,26
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,35,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,29,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,22,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/PlayerController,20,12
/Unity-Technologies/Megacity-Sample/commits/master,18,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,18,10
