url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,620,377
/Unity-Technologies/Megacity-Sample/tree/master/Assets,79,52
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,36,30
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,27,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,15,11
/Unity-Technologies/Megacity-Sample/tree/master/Packages,15,11
/Unity-Technologies/Megacity-Sample/tree/master/.github/workflows,11,8
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,11,7
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,10,7
/Unity-Technologies/Megacity-Sample/issues,9,8
