url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,520,284
/Unity-Technologies/Megacity-Sample/tree/master/Assets,75,50
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,58,25
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,39,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,27,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,17,8
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,16,8
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/UI,14,8
/Unity-Technologies/Megacity-Sample/tree/master/Packages,11,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,11,6
