url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,463,255
/Unity-Technologies/Megacity-Sample/tree/master/Assets,60,42
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,53,23
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,32,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,24,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,14,6
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,12,8
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,12,7
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/UI,12,6
/Unity-Technologies/Megacity-Sample/tree/master/Packages,11,9
