url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,639,364
/Unity-Technologies/Megacity-Sample/tree/master/Assets,91,51
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,55,28
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,42,21
/Unity-Technologies/Megacity-Sample/search,23,3
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,18,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,16,15
/Unity-Technologies/Megacity-Sample/issues,15,13
/Unity-Technologies/Megacity-Sample/tree/github-repo-stats,15,10
/Unity-Technologies/Megacity-Sample/branches,14,11
