url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,559,340
/Unity-Technologies/Megacity-Sample/tree/master/Assets,94,56
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,56,33
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,51,24
/Unity-Technologies/Megacity-Sample/search,22,2
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,20,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,18,8
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,14,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,14,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,12,9
