url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,595,358
/Unity-Technologies/Megacity-Sample/tree/master/Assets,84,54
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,54,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,43,20
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,20,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,20,9
/Unity-Technologies/Megacity-Sample/tree/master/Packages,15,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,12,11
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/LoadingScreenSystem.cs,12,7
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,11,11
