url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,683,395
/Unity-Technologies/Megacity-Sample/tree/master/Assets,89,52
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,45,29
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,32,22
/Unity-Technologies/Megacity-Sample/issues,22,17
/Unity-Technologies/Megacity-Sample/search,20,4
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,19,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,18,12
/Unity-Technologies/Megacity-Sample/commits/master,16,14
/Unity-Technologies/Megacity-Sample/branches,16,11
