url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,592,344
/Unity-Technologies/Megacity-Sample/tree/master/Assets,95,50
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,57,31
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,42,21
/Unity-Technologies/Megacity-Sample/search,24,3
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,20,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,15,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,14,12
/Unity-Technologies/Megacity-Sample/tree/master/Packages,14,10
/Unity-Technologies/Megacity-Sample/branches,13,11
