url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,653,371
/Unity-Technologies/Megacity-Sample/tree/master/Assets,92,60
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,77,30
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,55,27
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,32,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,30,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/PlayerController,20,12
/Unity-Technologies/Megacity-Sample/commits/master,19,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,19,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/UI,19,10
