url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,607,370
/Unity-Technologies/Megacity-Sample/tree/master/Assets,83,55
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,55,34
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,43,21
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,20,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,19,9
/Unity-Technologies/Megacity-Sample/tree/master/Packages,15,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,12,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,12,9
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,11,11
