url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,670,385
/Unity-Technologies/Megacity-Sample/tree/master/Assets,91,53
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,48,29
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,35,21
/Unity-Technologies/Megacity-Sample/search,20,3
/Unity-Technologies/Megacity-Sample/issues,18,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,18,14
/Unity-Technologies/Megacity-Sample/commits/master,15,13
/Unity-Technologies/Megacity-Sample/branches,15,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,14,13
