time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-14 00:00:00+00:00,4,4,125,33
2023-01-15 00:00:00+00:00,4,4,95,36
2023-01-16 00:00:00+00:00,16,11,127,47
2023-01-17 00:00:00+00:00,11,8,75,35
2023-01-18 00:00:00+00:00,13,12,200,50
2023-01-19 00:00:00+00:00,5,5,128,26
2023-01-20 00:00:00+00:00,14,8,91,36
2023-01-21 00:00:00+00:00,3,3,129,19
2023-01-22 00:00:00+00:00,7,7,113,32
2023-01-23 00:00:00+00:00,9,8,96,26
2023-01-24 00:00:00+00:00,12,10,103,29
2023-01-25 00:00:00+00:00,5,3,48,22
2023-01-26 00:00:00+00:00,14,7,51,27
2023-01-27 00:00:00+00:00,2,2,126,27
