url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,703,393
/Unity-Technologies/Megacity-Sample/tree/master/Assets,106,64
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,78,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,58,29
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,32,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,32,15
/Unity-Technologies/Megacity-Sample/commits/master,20,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,20,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/PlayerController,19,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/UI,19,10
