url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,588,340
/Unity-Technologies/Megacity-Sample/tree/master/Assets,93,50
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,54,30
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,40,20
/Unity-Technologies/Megacity-Sample/search,24,3
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,18,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,14,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,13,11
/Unity-Technologies/Megacity-Sample/tree/master/Packages,12,8
/Unity-Technologies/Megacity-Sample/branches,11,10
