url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,766,416
/Unity-Technologies/Megacity-Sample/tree/master/Assets,98,62
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,65,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,47,27
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,25,17
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,24,14
/Unity-Technologies/Megacity-Sample/issues,23,17
/Unity-Technologies/Megacity-Sample/tree/master/Packages,21,18
/Unity-Technologies/Megacity-Sample/branches,20,13
/Unity-Technologies/Megacity-Sample/commits/master,19,14
