url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,580,345
/Unity-Technologies/Megacity-Sample/tree/master/Assets,98,57
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,57,34
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,50,23
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,22,15
/Unity-Technologies/Megacity-Sample/search,22,2
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,18,8
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,15,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,14,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,12,9
