url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,762,422
/Unity-Technologies/Megacity-Sample/tree/master/Assets,98,61
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,56,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,41,25
/Unity-Technologies/Megacity-Sample/issues,22,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,21,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,21,13
/Unity-Technologies/Megacity-Sample/tree/master/Packages,19,17
/Unity-Technologies/Megacity-Sample/commits/master,18,15
/Unity-Technologies/Megacity-Sample/branches,18,12
