time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-08 00:00:00+00:00,10,8,99,30
2023-01-09 00:00:00+00:00,9,7,95,34
2023-01-10 00:00:00+00:00,15,11,119,43
2023-01-11 00:00:00+00:00,11,10,100,40
2023-01-12 00:00:00+00:00,8,6,108,33
2023-01-13 00:00:00+00:00,5,5,112,35
2023-01-14 00:00:00+00:00,4,4,125,33
2023-01-15 00:00:00+00:00,4,4,95,36
2023-01-16 00:00:00+00:00,16,11,127,47
2023-01-17 00:00:00+00:00,11,8,75,35
2023-01-18 00:00:00+00:00,13,12,200,50
2023-01-19 00:00:00+00:00,5,5,128,26
2023-01-20 00:00:00+00:00,14,8,91,36
2023-01-21 00:00:00+00:00,2,2,129,19
