url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,551,334
/Unity-Technologies/Megacity-Sample/tree/master/Assets,96,56
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,57,34
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,51,24
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,22,15
/Unity-Technologies/Megacity-Sample/search,22,2
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,17,7
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,14,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,13,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,12,11
