url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,619,383
/Unity-Technologies/Megacity-Sample/tree/master/Assets,84,57
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,47,34
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,37,21
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,18,13
/Unity-Technologies/Megacity-Sample/tree/master/Packages,14,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,13,8
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,11,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,11,8
/Unity-Technologies/Megacity-Sample/tree/master/.github/workflows,11,8
