url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,446,253
/Unity-Technologies/Megacity-Sample/tree/master/Assets,56,39
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,47,21
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,27,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,21,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Traffic,12,8
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/UI,12,6
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,12,5
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,11,7
/Unity-Technologies/Megacity-Sample/tree/master/Packages,10,8
