url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,621,353
/Unity-Technologies/Megacity-Sample/tree/master/Assets,102,52
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,59,31
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,44,22
/Unity-Technologies/Megacity-Sample/search,25,4
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,19,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,16,15
/Unity-Technologies/Megacity-Sample/tree/master/Packages,16,12
/Unity-Technologies/Megacity-Sample/issues,14,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,14,12
