url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,562,342
/Unity-Technologies/Megacity-Sample/tree/master/Assets,86,54
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,55,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,46,21
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,22,16
/Unity-Technologies/Megacity-Sample/search,22,2
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,20,9
/Unity-Technologies/Megacity-Sample/tree/master/Packages,14,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Models,12,11
/Unity-Technologies/Megacity-Sample/blob/master/Assets/Scripts/Gameplay/Streaming/LoadingScreenSystem.cs,12,7
