url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,683,380
/Unity-Technologies/Megacity-Sample/tree/master/Assets,101,62
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,74,30
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,55,27
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,31,14
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,30,18
/Unity-Technologies/Megacity-Sample/commits/master,20,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,19,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/PlayerController,19,11
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/UI,19,10
