url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,602,338
/Unity-Technologies/Megacity-Sample/tree/master/Assets,95,61
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,79,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,53,25
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,34,19
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,29,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Utils,21,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/Streaming,19,10
/Unity-Technologies/Megacity-Sample/commits/master,17,12
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring/PlayerController,17,10
