url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,690,398
/Unity-Technologies/Megacity-Sample/tree/master/Assets,94,53
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,53,32
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,37,24
/Unity-Technologies/Megacity-Sample/issues,23,18
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,22,13
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,21,15
/Unity-Technologies/Megacity-Sample/search,20,4
/Unity-Technologies/Megacity-Sample/branches,18,11
/Unity-Technologies/Megacity-Sample/tree/github-repo-stats,17,10
