url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,671,381
/Unity-Technologies/Megacity-Sample/tree/master/Assets,89,51
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,47,28
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,37,21
/Unity-Technologies/Megacity-Sample/search,23,3
/Unity-Technologies/Megacity-Sample/issues,18,15
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,18,14
/Unity-Technologies/Megacity-Sample/branches,15,12
/Unity-Technologies/Megacity-Sample/tree/github-repo-stats,15,10
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,14,13
