url_path,views_total,views_unique
/Unity-Technologies/Megacity-Sample,761,412
/Unity-Technologies/Megacity-Sample/tree/master/Assets,98,62
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts,60,31
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay,44,26
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Authoring,24,17
/Unity-Technologies/Megacity-Sample/issues,22,16
/Unity-Technologies/Megacity-Sample/tree/master/Assets/Scripts/Gameplay/PlayerController,22,14
/Unity-Technologies/Megacity-Sample/tree/master/Packages,21,19
/Unity-Technologies/Megacity-Sample/commits/master,18,14
/Unity-Technologies/Megacity-Sample/branches,18,12
